title,url,date
В России предложили продавать сим-карты по биометрии. Зачем это нужно,https://www.rbc.ru/life/news/6645dcc29a794734da3c417f,13.05.2024 ~
Власти задумались о продаже сим-карт россиянам по биометрии,https://www.rbc.ru/technology_and_media/16/05/2024/66456b789a7947ce318c3f7d,13.05.2024 ~
На 21% вырос в майские праздники турпоток из Вологодчины в Африку и Азию,https://vo.rbc.ru/vo/15/05/2024/6644a5639a7947657aea4170,13.05.2024 ~
Поток туристов из Татарстана в страны Азии вырос в 2 раза,https://rt.rbc.ru/tatarstan/freenews/664348e89a794765107bf706,13.05.2024 ~
«Здоровые границы — это главное условие». О чем новая книга Анны Бабич,https://style.rbc.ru/people/6642106e9a79474cfcc46166,13.05.2024 ~
У тюменцев на 76% вырос спрос на отдых в Африке,https://t.rbc.ru/tyumen/14/05/2024/664321029a79474b338ffe32,13.05.2024 ~
Новосибирцы второй год на майские уезжают в отпуск в Казахстан и Турцию,https://nsk.plus.rbc.ru/pressrelease/664344a37a8aa93b2fb2f9a1,13.05.2024 ~
Тюменцы стали чаще использовать для звонков мессенджеры,https://t.rbc.ru/tyumen/24/05/2024/665033539a79473c285b242b,20.05.2024 ~
«МегаФон» расширяет продажи в 10 регионах России,https://www.rbc.ru/industries/news/664de9bb9a794755b463aada,20.05.2024 ~
ФАС завела дело против МТС из-за подорожания услуг связи,https://www.rbc.ru/business/22/05/2024/664dee059a794701fccaf2c9,20.05.2024 ~
Примите вызов: какие проблемы решают промышленные компании,https://trends.rbc.ru/trends/industry/cmrm/664743389a79470cb0cb12ac,20.05.2024 ~
ЦИПР-2024: «Ростелеком» представил базовую станцию стандарта GSM/LTE,https://nn.plus.rbc.ru/pressrelease/664cb18a7a8aa9f8c9d749e3,20.05.2024 ~
В Минцифры изучат причины подорожания мобильной связи в России,https://www.rbc.ru/rbcfreenews/664ccc069a7947cc6f5e1e49,20.05.2024 ~
"Броди, гоняй, побеждай: 10 рейтинговых онлайн-игр для отдыха от рутины",https://www.rbc.ru/life/news/664b31389a7947cc407be14f,20.05.2024 ~
РСХБ запустил новый сберегательный продукт,https://vo.plus.rbc.ru/partners/664b399a7a8aa9803b925d0c,20.05.2024 ~
В Новосибирске начался суд над обвиняемыми в попытке поджога Су-24,https://nsk.rbc.ru/nsk/20/05/2024/664b01fd9a794774b35a9c89,20.05.2024 ~
Не платить за ненужное: как меняются корпоративные тарифы мобильной связи,https://trends.rbc.ru/trends/industry/cmrm/6659f4159a794705621b6bde,27.05.2024 ~
МегаФон определил ТОП-3 популярных туристических локаций в Великом Устюге,https://vo.plus.rbc.ru/pressrelease/665866967a8aa91e9bd1c1d1,27.05.2024 ~
На левобережье Новосибирска мобильный интернет разогнался до 100 Мбит/с,https://nsk.plus.rbc.ru/pressrelease/6657ef707a8aa96fda51a310,27.05.2024 ~
«МегаФон» проанализировал спрос на аренду самокатов в 2024 году,https://www.rbc.ru/industries/news/66571aa09a7947285349567f,27.05.2024 ~
Предпринимательский класс: как технологии меняют бизнес в России,https://pro.rbc.ru/demo/665702e99a79472420b4d4aa,27.05.2024 ~
Сервисы для роста: без чего сейлерам уже не обойтись на маркетплейсах,https://trends.rbc.ru/trends/industry/cmrm/6655963e9a79476fffa244ea,27.05.2024 ~
Тюменцы чаще других уральцев берут в аренду самокаты,https://t.rbc.ru/tyumen/29/05/2024/6656cfeb9a79476dea99a7ef,27.05.2024 ~
«МегаФон» добавил инноваций системе экомониторинга в Череповце,https://www.rbc.ru/industries/news/6655c9eb9a7947083dcdd510,27.05.2024 ~
Telegram стал самым популярным приложением в Вологодской области,https://vo.plus.rbc.ru/pressrelease/66545d4c7a8aa926942c57d4,27.05.2024 ~
Telegram восстановил работу после сбоя,https://www.rbc.ru/technology_and_media/08/06/2024/6664bc8e9a79475236b5e556,08.06.2024 23:24
В работе Telegram произошел сбой,https://www.rbc.ru/technology_and_media/08/06/2024/6664a5dc9a7947848cea3801,08.06.2024 21:48
«Росатом» инвестирует в развитие СМЗ более 7 млрд рублей,https://perm.rbc.ru/perm/freenews/6662a0c89a794741f9c0b5bd,07.06.2024 11:38
«МегаФон» стал партнером проекта Совкомбанка «Технологии добра»,https://www.rbc.ru/industries/news/6661b6db9a7947b9ea4031f1,06.06.2024 17:18
